id,date,present_employee
David Miller,2024-07-21 22:15:22
Henry Jones,2024-07-21 22:16:24,francis
Charlie Smith,2024-07-21 22:18:25,francis
Emma Davis,2024-07-21 22:18:36,francis
Emma Davis,2024-07-21 22:18:37,francis
Frank Williams,2024-07-21 22:24:31,francis
Frank Williams,2024-07-21 22:24:43,francis
Bob Wilson,2024-07-21 22:24:57,francis
Grace Johnson,2024-07-21 22:30:03,francis
Charlie Miller,2024-07-21 22:32:12,francis
Frank Johnson,2024-07-21 22:33:05,francis
Charlie Smith,2024-07-21 22:33:46,francis
Grace Smith,2024-07-21 22:34:23,francis
Henry Jones,2024-07-21 22:35:00,francis
Frank Johnson,2024-07-21 22:35:38,francis
Grace Smith,2024-07-21 22:36:08,francis
Henry Williams,2024-07-21 22:36:45,francis
Henry Williams,2024-07-21 22:37:23,francis
Henry Williams,2024-07-21 22:38:23,francis
Grace Brown,2024-07-21 23:45:55,francis
